,word,pad
0,абзаца,R
1,абзаце,P
2,абзац,V
3,абзац,I
4,абзацу,D
5,абзацем,T
6,аборта,R
7,аборте,P
8,аборт,V
9,аборт,I
10,аборту,D
11,абортом,T
12,абсурда,R
13,абсурде,P
14,абсурд,V
15,абсурд,I
16,абсурду,D
17,абсурдом,T
18,авангарда,R
19,авангарде,P
20,авангард,V
21,авангард,I
22,авангарду,D
23,авангардом,T
24,аварии,R
25,аварии,P
26,аварию,V
27,авария,I
28,аварии,D
29,аварией,T
30,августа,R
31,августе,P
32,август,V
33,август,I
34,августу,D
35,августом,T
36,авиации,R
37,авиации,P
38,авиацию,V
39,авиация,I
40,авиации,D
41,авиацией,T
42,австралии,R
43,австралии,P
44,австралию,V
45,австралия,I
46,австралии,D
47,австралией,T
48,автобуса,R
49,автобусе,P
50,автобус,V
51,автобус,I
52,автобусу,D
53,автобусом,T
54,автомата,R
55,автомате,P
56,автомат,V
57,автомат,I
58,автомату,D
59,автоматом,T
60,автоматизации,R
61,автоматизации,P
62,автоматизацию,V
63,автоматизация,I
64,автоматизации,D
65,автоматизацией,T
66,автомобиля,R
67,автомобиле,P
68,автомобиль,V
69,автомобиль,I
70,автомобилю,D
71,автомобилем,T
72,автономии,R
73,автономии,P
74,автономию,V
75,автономия,I
76,автономии,D
77,автономией,T
78,автора,R
79,авторе,P
80,автора,V
81,автор,I
82,автору,D
83,автором,T
84,авторитета,R
85,авторитете,P
86,авторитет,V
87,авторитет,I
88,авторитету,D
89,авторитетом,T
90,агентства,R
91,агентстве,P
92,агентство,V
93,агентство,I
94,агентству,D
95,агентством,T
96,агрессии,R
97,агрессии,P
98,агрессию,V
99,агрессия,I
100,агрессии,D
101,агрессией,T
102,адама,R
103,адаме,P
104,адама,V
105,адам,I
106,адаму,D
107,адамом,T
108,адаптации,R
109,адаптации,P
110,адаптацию,V
111,адаптация,I
112,адаптации,D
113,адаптацией,T
114,адвоката,R
115,адвокате,P
116,адвоката,V
117,адвокат,I
118,адвокату,D
119,адвокатом,T
120,администрации,R
121,администрации,P
122,администрацию,V
123,администрация,I
124,администрации,D
125,администрацией,T
126,адмирала,R
127,адмирале,P
128,адмирала,V
129,адмирал,I
130,адмиралу,D
131,адмиралом,T
132,адреса,R
133,адресе,P
134,адрес,V
135,адрес,I
136,адресу,D
137,адресом,T
138,адресата,R
139,адресате,P
140,адресата,V
141,адресат,I
142,адресату,D
143,адресатом,T
144,азии,R
145,азии,P
146,азию,V
147,азия,I
148,азии,D
149,азией,T
150,академика,R
151,академике,P
152,академика,V
153,академик,I
154,академику,D
155,академиком,T
156,академии,R
157,академии,P
158,академию,V
159,академия,I
160,академии,D
161,академией,T
162,аквариума,R
163,аквариуме,P
164,аквариум,V
165,аквариум,I
166,аквариуму,D
167,аквариумом,T
168,аккумулятора,R
