,род,пред,вин,им,дат,твор
0,абзаца,абзаце,абзац,абзац,абзацу,абзацем
1,аборта,аборте,аборт,аборт,аборту,абортом
2,абсурда,абсурде,абсурд,абсурд,абсурду,абсурдом
3,авангарда,авангарде,авангард,авангард,авангарду,авангардом
4,аварии,аварии,аварию,авария,аварии,аварией
5,августа,августе,август,август,августу,августом
6,авиации,авиации,авиацию,авиация,авиации,авиацией
7,австралии,австралии,австралию,австралия,австралии,австралией
8,автобуса,автобусе,автобус,автобус,автобусу,автобусом
9,автомата,автомате,автомат,автомат,автомату,автоматом
10,автоматизации,автоматизации,автоматизацию,автоматизация,автоматизации,автоматизацией
11,автомобиля,автомобиле,автомобиль,автомобиль,автомобилю,автомобилем
12,автономии,автономии,автономию,автономия,автономии,автономией
13,автора,авторе,автора,автор,автору,автором
14,авторитета,авторитете,авторитет,авторитет,авторитету,авторитетом
15,агентства,агентстве,агентство,агентство,агентству,агентством
16,агрессии,агрессии,агрессию,агрессия,агрессии,агрессией
17,адама,адаме,адама,адам,адаму,адамом
18,адаптации,адаптации,адаптацию,адаптация,адаптации,адаптацией
19,адвоката,адвокате,адвоката,адвокат,адвокату,адвокатом
20,администрации,администрации,администрацию,администрация,администрации,администрацией
21,адмирала,адмирале,адмирала,адмирал,адмиралу,адмиралом
22,адреса,адресе,адрес,адрес,адресу,адресом
23,адресата,адресате,адресата,адресат,адресату,адресатом
24,азии,азии,азию,азия,азии,азией
25,академика,академике,академика,академик,академику,академиком
26,академии,академии,академию,академия,академии,академией
27,аквариума,аквариуме,аквариум,аквариум,аквариуму,аквариумом
28,аккумулятора,аккумуляторе,аккумулятор,аккумулятор,аккумулятору,аккумулятором
29,акта,акте,акт,акт,акту,актом
30,актера,актере,актера,актер,актеру,актером
31,актива,активе,актив,актив,активу,активом
32,активности,активности,активность,активность,активности,активностью
33,акцента,акценте,акцент,акцент,акценту,акцентом
34,акции,акции,акцию,акция,акции,акцией
35,алгоритма,алгоритме,алгоритм,алгоритм,алгоритму,алгоритмом
36,алкоголя,алкоголе,алкоголь,алкоголь,алкоголю,алкоголем
37,аллаха,аллахе,аллаха,аллах,аллаху,аллахом
38,аллергии,аллергии,аллергию,аллергия,аллергии,аллергией
39,аллеи,аллее,аллею,аллея,аллее,аллеей
40,алмаза,алмазе,алмаз,алмаз,алмазу,алмазом
41,алтаря,алтаре,алтарь,алтарь,алтарю,алтарем
42,алфавита,алфавите,алфавит,алфавит,алфавиту,алфавитом
43,альбома,альбоме,альбом,альбом,альбому,альбомом
44,альянса,альянсе,альянс,альянс,альянсу,альянсом
45,амбиции,амбиции,амбицию,амбиция,амбиции,амбицией
46,американца,американце,американца,американец,американцу,американцем
47,анализа,анализе,анализ,анализ,анализу,анализом
48,аналитика,аналитике,аналитика,аналитик,аналитику,аналитиком
49,аналога,аналоге,аналог,аналог,аналогу,аналогом
50,аналогии,аналогии,аналогию,аналогия,аналогии,аналогией
51,ангела,ангеле,ангела,ангел,ангелу,ангелом
52,англичанина,англичанине,англичанина,англичанин,англичанину,англичанином
53,анекдота,анекдоте,анекдот,анекдот,анекдоту,анекдотом
54,ансамбля,ансамбле,ансамбль,ансамбль,ансамблю,ансамблем
55,апельсина,апельсине,апельсин,апельсин,апельсину,апельсином
56,аппарата,аппарате,аппарат,аппарат,аппарату,аппаратом
57,аппетита,аппетите,аппетит,аппетит,аппетиту,аппетитом
58,апреля,апреле,апрель,апрель,апрелю,апрелем
59,арбуза,арбузе,арбуз,арбуз,арбузу,арбузом
60,аргумента,аргументе,аргумент,аргумент,аргументу,аргументом
61,ареста,аресте,арест,арест,аресту,арестом
62,армии,армии,армию,армия,армии,армией
63,аромата,аромате,аромат,аромат,аромату,ароматом
64,арсенала,арсенале,арсенал,арсенал,арсеналу,арсеналом
65,артиллерии,артиллерии,артиллерию,артиллерия,артиллерии,артиллерией
66,артиста,артисте,артиста,артист,артисту,артистом
67,архива,архиве,архив,архив,архиву,архивом
68,архитектора,архитекторе,архитектора,архитектор,архитектору,архитектором
69,аса,асе,аса,ас,асу,асом
70,аспекта,аспекте,аспект,аспект,аспекту,аспектом
71,ассортимента,ассортименте,ассортимент,ассортимент,ассортименту,ассортиментом
72,ассоциации,ассоциации,ассоциацию,ассоциация,ассоциации,ассоциацией
73,асфальта,асфальте,асфальт,асфальт,асфальту,асфальтом
74,атома,атоме,атом,атом,атому,атомом
75,атрибута,атрибуте,атрибут,атрибут,атрибуту,атрибутом
76,аудитории,аудитории,аудиторию,аудитория,аудитории,аудиторией
77,аукциона,аукционе,аукцион,аукцион,аукциону,аукционом
78,аэродрома,аэродроме,аэродром,аэродром,аэродрому,аэродромом
79,багажа,багаже,багаж,багаж,багажу,багажом
80,багажника,багажнике,багажник,багажник,багажнику,багажником
81,базара,базаре,базар,базар,базару,базаром
82,бака,баке,бак,бак,баку,баком
83,баланса,балансе,баланс,баланс,балансу,балансом
84,балета,балете,балет,балет,балету,балетом
85,балкона,балконе,балкон,балкон,балкону,балконом
86,балла,балле,балл,балл,баллу,баллом
87,банана,банане,банан,банан,банану,бананом
88,бандита,бандите,бандита,бандит,бандиту,бандитом
89,банка,банке,банк,банк,банку,банком
90,банкира,банкире,банкира,банкир,банкиру,банкиром
91,банкротства,банкротстве,банкротство,банкротство,банкротству,банкротством
92,бара,баре,бар,бар,бару,баром
93,барабана,барабане,барабан,барабан,барабану,барабаном
94,барака,бараке,барак,барак,бараку,бараком
95,барана,баране,барана,баран,барану,бараном
96,барина,барине,барина,барин,барину,барином
97,барона,бароне,барона,барон,барону,бароном
98,барышни,барышне,барышню,барышня,барышне,барышней
99,барьера,барьере,барьер,барьер,барьеру,барьером
100,бассейна,бассейне,бассейн,бассейн,бассейну,бассейном
101,батальона,батальоне,батальон,батальон,батальону,батальоном
102,батареи,батарее,батарею,батарея,батарее,батареей
103,башни,башне,башню,башня,башне,башней
104,бегства,бегстве,бегство,бегство,бегству,бегством
105,бедности,бедности,бедность,бедность,бедности,бедностью
106,бедра,бедре,бедро,бедро,бедру,бедром
107,бедствия,бедствии,бедствие,бедствие,бедствию,бедствием
108,безобразия,безобразии,безобразие,безобразие,безобразию,безобразием
109,безопасности,безопасности,безопасность,безопасность,безопасности,безопасностью
110,безумия,безумии,безумие,безумие,безумию,безумием
111,белка,белке,белок,белок,белку,белком
112,белья,белье,белье,белье,белью,бельем
113,бензина,бензине,бензин,бензин,бензину,бензином
114,берегового,береговом,берегового,береговой,береговому,береговым
115,беременности,беременности,беременность,беременность,беременности,беременностью
116,берлина,берлине,берлин,берлин,берлину,берлином
117,беса,бесе,беса,бес,бесу,бесом
118,бесконечности,бесконечности,бесконечность,бесконечность,бесконечности,бесконечностью
119,беспокойства,беспокойстве,беспокойство,беспокойство,беспокойству,беспокойством
120,беспорядка,беспорядке,беспорядок,беспорядок,беспорядку,беспорядком
121,бессмертия,бессмертии,бессмертие,бессмертие,бессмертию,бессмертием
122,бешенства,бешенстве,бешенство,бешенство,бешенству,бешенством
123,библии,библии,библию,библия,библии,библией
124,бизнеса,бизнесе,бизнес,бизнес,бизнесу,бизнесом
125,бизнесмена,бизнесмене,бизнесмена,бизнесмен,бизнесмену,бизнесменом
126,билета,билете,билет,билет,билету,билетом
127,бинокля,бинокле,бинокль,бинокль,биноклю,биноклем
128,биографии,биографии,биографию,биография,биографии,биографией
129,биологии,биологии,биологию,биология,биологии,биологией
130,бита,бите,бит,бит,биту,битом
131,блага,благе,благо,благо,благу,благом
132,благодарности,благодарности,благодарность,благодарность,благодарности,благодарностью
133,благодати,благодати,благодать,благодать,благодати,благодатью
134,благополучия,благополучии,благополучие,благополучие,благополучию,благополучием
135,благословения,благословении,благословение,благословение,благословению,благословением
136,благосостояния,благосостоянии,благосостояние,благосостояние,благосостоянию,благосостоянием
137,блаженства,блаженстве,блаженство,блаженство,блаженству,блаженством
138,бланка,бланке,бланк,бланк,бланку,бланком
139,блеска,блеске,блеск,блеск,блеску,блеском
140,ближнего,ближнем,ближнего,ближний,ближнему,ближним
141,близости,близости,близость,близость,близости,близостью
142,блока,блоке,блок,блок,блоку,блоком
143,блокнота,блокноте,блокнот,блокнот,блокноту,блокнотом
144,блюда,блюде,блюдо,блюдо,блюду,блюдом
145,боба,бобе,боб,боб,бобу,бобом
146,богатства,богатстве,богатство,богатство,богатству,богатством
147,богатыря,богатыре,богатыря,богатырь,богатырю,богатырем
148,бойца,бойце,бойца,боец,бойцу,бойцом
149,божества,божестве,божество,божество,божеству,божеством
150,боя,бое,боя,бой,бою,боем
151,бокала,бокале,бокал,бокал,бокалу,бокалом
152,бокса,боксе,бокс,бокс,боксу,боксом
153,болезни,болезни,болезнь,болезнь,болезни,болезнью
154,болота,болоте,болото,болото,болоту,болотом
155,боли,боли,боль,боль,боли,болью
156,больничного,больничном,больничный,больничный,больничному,больничным
157,большевика,большевике,большевика,большевик,большевику,большевиком
158,большинства,большинстве,большинство,большинство,большинству,большинством
159,большого,большом,большого,большой,большому,большим
160,бомбардировщика,бомбардировщике,бомбардировщик,бомбардировщик,бомбардировщику,бомбардировщиком
161,босса,боссе,босса,босс,боссу,боссом
162,ботинка,ботинке,ботинок,ботинок,ботинку,ботинком
163,боязни,боязни,боязнь,боязнь,боязни,боязнью
164,боярина,боярине,боярина,боярин,боярину,боярином
165,брака,браке,брак,брак,браку,браком
166,брака,браке,брак,брак,браку,браком
167,браслета,браслете,браслет,браслет,браслету,браслетом
168,брата,брате,брата,брат,брату,братом
169,братца,братце,братца,братец,братцу,братцем
170,братства,братстве,братство,братство,братству,братством
171,бревна,бревне,бревно,бревно,бревну,бревном
172,бреда,бреде,бред,бред,бреду,бредом
173,бремени,бремени,бремя,бремя,бремени,бременем
174,бриллианта,бриллианте,бриллиант,бриллиант,бриллианту,бриллиантом
175,брюха,брюхе,брюхо,брюхо,брюху,брюхом
176,будильника,будильнике,будильник,будильник,будильнику,будильником
177,будущего,будущем,будущее,будущее,будущему,будущим
178,букета,букете,букет,букет,букету,букетом
179,бульвара,бульваре,бульвар,бульвар,бульвару,бульваром
180,бума,буме,бум,бум,буму,бумом
181,бунта,бунте,бунт,бунт,бунту,бунтом
182,буржуазии,буржуазии,буржуазию,буржуазия,буржуазии,буржуазией
183,бутерброда,бутерброде,бутерброд,бутерброд,бутерброду,бутербродом
184,буфета,буфете,буфет,буфет,буфету,буфетом
185,бухгалтерии,бухгалтерии,бухгалтерию,бухгалтерия,бухгалтерии,бухгалтерией
186,бытия,бытии,бытие,бытие,бытию,бытием
187,бюджета,бюджете,бюджет,бюджет,бюджету,бюджетом
188,бюллетеня,бюллетене,бюллетень,бюллетень,бюллетеню,бюллетенем
189,бюрократии,бюрократии,бюрократию,бюрократия,бюрократии,бюрократией
190,вагона,вагоне,вагон,вагон,вагону,вагоном
191,важности,важности,важность,важность,важности,важностью
192,вампира,вампире,вампира,вампир,вампиру,вампиром
193,варвара,варваре,варвара,варвар,варвару,варваром
194,варенья,варенье,варенье,варенье,варенью,вареньем
195,варианта,варианте,вариант,вариант,варианту,вариантом
196,вариации,вариации,вариацию,вариация,вариации,вариацией
197,вашего,вашем,вашего,ваш,вашему,вашим
198,введения,введении,введение,введение,введению,введением
199,ввода,вводе,ввод,ввод,вводу,вводом
200,вдохновения,вдохновении,вдохновение,вдохновение,вдохновению,вдохновением
201,ведения,ведении,ведение,ведение,ведению,ведением
202,ведения,ведении,ведение,ведение,ведению,ведением
203,ведомости,ведомости,ведомость,ведомость,ведомости,ведомостью
204,ведомства,ведомстве,ведомство,ведомство,ведомству,ведомством
205,ведра,ведре,ведро,ведро,ведру,ведром
206,вежливости,вежливости,вежливость,вежливость,вежливости,вежливостью
207,века,веке,веко,веко,веку,веком
208,вектора,векторе,вектор,вектор,вектору,вектором
209,великого,великом,великого,великий,великому,великим
210,величества,величестве,величество,величество,величеству,величеством
211,величия,величии,величие,величие,величию,величием
212,велосипеда,велосипеде,велосипед,велосипед,велосипеду,велосипедом
