,R,P,V,I,D,T,pol,dush
0,абзаца,абзаце,абзац,абзац,абзацу,абзацем,М,0.0
1,аборта,аборте,аборт,аборт,аборту,абортом,М,0.0
2,абсурда,абсурде,абсурд,абсурд,абсурду,абсурдом,М,0.0
3,авангарда,авангарде,авангард,авангард,авангарду,авангардом,М,0.0
4,аварии,аварии,аварию,авария,аварии,аварией,Ж,0.0
5,августа,августе,август,август,августу,августом,М,0.0
6,авиации,авиации,авиацию,авиация,авиации,авиацией,Ж,0.0
7,австралии,австралии,австралию,австралия,австралии,австралией,Ж,0.0
8,автобуса,автобусе,автобус,автобус,автобусу,автобусом,М,0.0
9,автомата,автомате,автомат,автомат,автомату,автоматом,М,0.0
10,автоматизации,автоматизации,автоматизацию,автоматизация,автоматизации,автоматизацией,Ж,0.0
11,автомобиля,автомобиле,автомобиль,автомобиль,автомобилю,автомобилем,М,0.0
12,автономии,автономии,автономию,автономия,автономии,автономией,Ж,0.0
13,автора,авторе,автора,автор,автору,автором,М,1.0
14,авторитета,авторитете,авторитет,авторитет,авторитету,авторитетом,М,0.0
15,агентства,агентстве,агентство,агентство,агентству,агентством,ср,0.0
16,агрессии,агрессии,агрессию,агрессия,агрессии,агрессией,Ж,0.0
17,адама,адаме,адама,адам,адаму,адамом,М,1.0
18,адаптации,адаптации,адаптацию,адаптация,адаптации,адаптацией,Ж,0.0
19,адвоката,адвокате,адвоката,адвокат,адвокату,адвокатом,М,1.0
20,администрации,администрации,администрацию,администрация,администрации,администрацией,Ж,0.0
21,адмирала,адмирале,адмирала,адмирал,адмиралу,адмиралом,М,1.0
22,адреса,адресе,адрес,адрес,адресу,адресом,М,0.0
23,адресата,адресате,адресата,адресат,адресату,адресатом,М,1.0
24,азии,азии,азию,азия,азии,азией,Ж,0.0
25,академика,академике,академика,академик,академику,академиком,М,1.0
26,академии,академии,академию,академия,академии,академией,Ж,0.0
27,аквариума,аквариуме,аквариум,аквариум,аквариуму,аквариумом,М,0.0
28,аккумулятора,аккумуляторе,аккумулятор,аккумулятор,аккумулятору,аккумулятором,М,0.0
29,акта,акте,акт,акт,акту,актом,М,0.0
